year,Portugal,Austria,Turkey,Australia,Indonesia,Ireland,Colombia,Sweden,South_Korea,Brazil,India,Hong_Kong,Russia,Italy,Norway,Canada,Germany,Vietnam,Japan,United_Arab_Emirates,Belgium,Mexico,China,Switzerland,Malaysia,Qatar,Singapore,United_Kingdom,Denmark,Spain,Saudi_Arabia,United_States,Thailand,Taiwan,France,Netherlands,Philippines
y_1995,9511000,17173000,,3726000,4324000,4818000,1433000,2310000,,1991000,2124000,,,55706000,2880000,41657000,14847000,1351000,3345000,,5560000,85446000,46387000,6946000,7469000,,7137000,23537000,,52460000,4398000,79732000,6952000,,,6574000,1760000
y_1996,9730000,17090000,,4165000,5034000,5289000,751000,2376000,,2666000,2288000,,,59805000,2746000,43256000,15205000,1607000,3837000,,5829000,90394000,51128000,6730000,7138000,,7292000,25163000,,55077000,,82756000,7244000,,148263000,6580000,2049000
y_1997,10172000,16647000,,4318000,5185000,5587000,758000,2388000,,2850000,2374000,,,57998000,2702000,45076000,15837000,1716000,4218000,,6037000,92915000,57588000,7039000,6211000,,7198000,25515000,,62415000,,82525000,7294000,,157551000,7841000,2223000
y_1998,11295000,17352000,,4167000,4606000,6064000,823000,2573000,,4818000,2359000,,,58499000,3256000,48064000,16511000,1520000,4106000,,6179000,95214000,63478000,7185000,5551000,,6242000,25745000,,68068000,,74767000,7843000,,,9312000,2149000
y_1999,11632000,17467000,,4459000,4728000,6403000,725000,2595000,,5107000,2482000,,,59521000,3223000,49055000,17116000,1782000,4438000,,6369000,99869000,72796000,7154000,7931000,,6958000,25394000,,72040000,,75796000,8651000,,,9874000,2171000
y_2000,12097000,17982000,,4931000,5064000,6646000,707000,3828000,,5313000,2649000,,,62702000,3104000,48638000,18983000,2140000,4757000,,6457000,105673000,83444000,7821000,10222000,,7691000,25209000,,74580000,,78343000,9579000,,,10003000,1992000
y_2001,12167000,18180000,,4856000,5153000,6353000,788000,4108000,,4773000,2537000,,,60960000,3073000,47147000,17861000,2330000,4772000,,6452000,100718000,89013000,7455000,12775000,,7522000,22835000,,75564000,,70975000,10133000,,,9500000,1797000
y_2002,11644000,18611000,,4841000,5033000,6476000,661000,4276000,,3785000,2384000,,,63561000,3111000,44896000,17969000,2628000,5239000,,6720000,100153000,97908000,6868000,13292000,,7567000,24180000,,79313000,,64434000,10873000,,,9595000,1933000
y_2003,11707000,19078000,,4746000,4467000,6764000,668000,4268000,,4133000,2726000,,,63026000,3269000,38903000,18399000,2429000,5212000,,6690000,92330000,91662000,6530000,10577000,,6127000,24715000,21119000,82326000,,62082000,10082000,,,9181000,1907000
y_2004,10639000,19374000,,5215000,5321000,6953000,840000,4676000,,4794000,3457000,,,58480000,3628000,38845000,20137000,2928000,6138000,,6710000,99250000,109038000,,15703000,,8329000,27755000,22054000,85981000,11083000,67606000,11737000,,190282000,9646000,2291000
y_2005,10612000,19952000,,5499000,5002000,7333000,981000,4883000,,5358000,3919000,,,59230000,3824000,36160000,21500000,3477000,6728000,,6747000,103146000,120292000,7229000,16431000,,8943000,29970000,26927000,92563000,10417000,71484000,11567000,,185829000,10012000,2623000
y_2006,11282000,20269000,,5532000,4871000,8001000,2096000,4729000,,5017000,4447000,,,66353000,4070000,33390000,23569000,3583000,7334000,,6995000,97701000,124942000,7863000,17547000,,9751000,32713000,26936000,96152000,10962000,183178000,13822000,,193882000,10739000,2843000
y_2007,6788000,20773000,,5644000,5506000,8332000,2381000,5224000,,5026000,5082000,,,70271000,4377000,30373000,24421000,4229000,8347000,,7045000,93582000,131873000,8448000,20973000,,10285000,32778000,27138000,98907000,13479000,175299000,14464000,,193319000,11008000,3092000
y_2008,6962000,21935000,,5586000,6234000,8026000,2545000,4555000,,5050000,5283000,,,70719000,4347000,27370000,24884000,4236000,8351000,,7165000,92948000,130027000,8608000,22052000,,10116000,31888000,26870000,97670000,17717000,175703000,14584000,,193571000,10104000,3139000
y_2009,6439000,21355000,,5490000,6324000,7189000,2649000,4899000,,4802000,5168000,,,71692000,4346000,24696000,24220000,3747000,6790000,,6815000,88044000,126476000,8294000,23646000,1482000,9683000,31072000,26571000,91899000,13319000,160508000,14150000,,192369000,9921000,3017000
y_2010,6756000,22004000,,5790000,7003000,7134000,1701000,5183000,,5161000,5776000,,,73225000,4767000,25621000,26875000,5050000,8611000,,7186000,81953000,133762000,8628000,24577000,1700000,11642000,30398000,26730000,93744000,13025000,162275000,15936000,,189826000,10883000,3520000
y_2011,7264000,23012000,,5771000,7650000,7630000,2356000,11567000,,5433000,6309000,,,75866000,4963000,25066000,28374000,6014000,6219000,,7494000,75732000,135423000,8534000,24714000,2057000,13171000,31886000,25811000,99187000,15776000,147271422,19230000,,196595000,11300000,3917000
y_2012,7503000,24151000,,6032000,8044000,7550000,2434000,12372000,,5677000,6578000,,,76293000,4538000,25318000,30411000,6848000,8358000,,7560000,76749000,132405000,8566000,25033000,2324000,14496000,32221000,26402000,98128000,19847000,171629891,22354000,,197522000,11680000,4273000
y_2013,9177000,24813000,,6482000,8802000,8260000,2595000,10980000,,5813000,6968000,,,76762000,4778000,25167000,31545000,7572000,10364000,,7684000,78100000,129078000,8967000,25715000,2612000,15568000,33567000,26516000,103231000,19934000,179309906,26547000,,204410000,12783000,4681000
y_2014,10497000,25291000,,6922000,9435000,8813000,2866000,10522000,,6430000,13107000,,,77694000,4855000,25558000,32999000,7874000,13413000,,7887000,81042000,128499000,9158000,27437000,2839000,15095000,35337000,28070000,107144000,23010000,178311359,24810000,,206599000,13925000,4833000
y_2015,11723000,26728000,,7449000,10407000,9528000,3371000,6482000,,6306000,13284000,,,81068000,5361000,27555000,34970000,7944000,19737000,19313000,8355000,87129000,133820000,9305000,25721000,2941000,15231500,36792000,28209000,109834000,21834000,176864531,29923000,,203302000,15007000,5361000
y_2016,13359000,28121000,,8269000,11519000,10100000,3675000,6782000,,6547000,14570000,,,84925000,5960000,30142000,35555000,10013000,24039000,20894000,7481000,94853000,141774000,10402000,26757000,2938000,16403000,39129000,28692000,115561000,20887000,175261484,32530000,,203042000,15828000,5967000
y_2017,15432000,29460000,,8815000,14040000,10338000,4056000,7054000,,6589000,15543000,,,89931000,6252000,31081000,37452000,12922000,28691000,21805000,8385000,99349000,153260000,11133000,25948000,2256000,17425000,41080000,30736000,121717000,18607000,174291750,35592000,,207274000,17924000,6621000
