country_name,country_code,gdp
Aruba,ABW,
Africa Eastern and Southern,AFE,1.16948E+12
Afghanistan,AFG,
Africa Western and Central,AFW,8.77863E+11
Angola,AGO,1.06714E+11
Albania,ALB,18882095518
Andorra,AND,3352032737
Arab World,ARB,3.55756E+12
United Arab Emirates,ARE,5.07535E+11
Argentina,ARG,6.3277E+11
Armenia,ARM,19502783988
American Samoa,ASM,
Antigua and Barbuda,ATG,1757603704
Australia,AUS,1.67542E+12
Austria,AUT,4.714E+11
Azerbaijan,AZE,78721058824
Burundi,BDI,3073414678
Belgium,BEL,5.78604E+11
Benin,BEN,17401746309
Burkina Faso,BFA,18884619613
Bangladesh,BGD,4.60201E+11
Bulgaria,BGR,89040398406
Bahrain,BHR,44390820479
"Bahamas, The",BHS,12897400000
Bosnia and Herzegovina,BIH,24527507288
Belarus,BLR,72793457588
Belize,BLZ,2824081836
Bermuda,BMU,7550500000
Bolivia,BOL,43068885673
Brazil,BRA,1.9201E+12
Barbados,BRB,5637914515
Brunei Darussalam,BRN,16681531646
Bhutan,BTN,
Botswana,BWA,20352322157
Central African Republic,CAF,2382618615
Canada,CAN,2.13984E+12
Central Europe and the Baltics,CEB,1.94633E+12
Switzerland,CHE,8.07706E+11
Channel Islands,CHI,
Chile,CHL,3.01025E+11
China,CHN,1.79632E+13
Cote d'Ivoire,CIV,70018715017
Cameroon,CMR,44341646509
"Congo, Dem. Rep.",COD,58065953573
"Congo, Rep.",COG,14615532210
Colombia,COL,3.43939E+11
Comoros,COM,1242519407
Cabo Verde,CPV,2314816792
Costa Rica,CRI,68380838316
Caribbean small states,CSS,92935645973
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,28439052741
Czechia,CZE,2.90924E+11
Germany,DEU,4.07219E+12
Djibouti,DJI,3515109075
Dominica,DMA,612048148.1
Denmark,DNK,3.95404E+11
Dominican Republic,DOM,1.13642E+11
Algeria,DZA,1.91913E+11
East Asia & Pacific (excluding high income),EAP,2.11893E+13
Early-demographic dividend,EAR,1.40295E+13
East Asia & Pacific,EAS,3.06552E+13
Europe & Central Asia (excluding high income),ECA,4.1247E+12
Europe & Central Asia,ECS,2.5192E+13
Ecuador,ECU,1.15049E+11
"Egypt, Arab Rep.",EGY,4.76748E+11
Euro area,EMU,1.40409E+13
Eritrea,ERI,
Spain,ESP,1.39751E+12
Estonia,EST,38100812959
Ethiopia,ETH,1.26783E+11
European Union,EUU,1.66414E+13
Fragile and conflict affected situations,FCS,1.89179E+12
Finland,FIN,2.80826E+11
Fiji,FJI,4943248200
France,FRA,2.78291E+12
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,427094119.1
Gabon,GAB,21071739228
United Kingdom,GBR,3.07067E+12
Georgia,GEO,24605375420
Ghana,GHA,72838798788
Gibraltar,GIB,
Guinea,GIN,21227749389
"Gambia, The",GMB,2273060863
Guinea-Bissau,GNB,1633559092
Equatorial Guinea,GNQ,11813908448
Greece,GRC,2.19066E+11
Grenada,GRD,1256413185
Greenland,GRL,
Guatemala,GTM,95003333381
Guam,GUM,
Guyana,GUY,15357537068
High income,HIC,6.15358E+13
"Hong Kong SAR, China",HKG,3.59839E+11
Honduras,HND,31717700115
Heavily indebted poor countries (HIPC),HPC,9.7011E+11
Croatia,HRV,70964606465
Haiti,HTI,20253551885
Hungary,HUN,1.78789E+11
IBRD only,IBD,3.76357E+13
IDA & IBRD total,IBT,4.04488E+13
IDA total,IDA,2.81327E+12
IDA blend,IDB,1.1733E+12
Indonesia,IDN,1.3191E+12
IDA only,IDX,1.63993E+12
Isle of Man,IMN,
India,IND,3.38509E+12
Not classified,INX,
Ireland,IRL,5.29245E+11
"Iran, Islamic Rep.",IRN,3.88544E+11
Iraq,IRQ,2.64182E+11
Iceland,ISL,27841648044
Israel,ISR,5.22033E+11
Italy,ITA,2.01043E+12
Jamaica,JAM,17097760745
Jordan,JOR,47451499859
Japan,JPN,4.23114E+12
Kazakhstan,KAZ,2.20623E+11
Kenya,KEN,1.1342E+11
Kyrgyz Republic,KGZ,10930644915
Cambodia,KHM,29956769529
Kiribati,KIR,223352943.2
St. Kitts and Nevis,KNA,961563259.3
"Korea, Rep.",KOR,1.66525E+12
Kuwait,KWT,1.84558E+11
Latin America & Caribbean (excluding high income),LAC,5.30057E+12
