"country","y_1995","y_1996","y_1997","y_1998","y_1999","y_2000","y_2001","y_2002","y_2003","y_2004","y_2005","y_2006","y_2007","y_2008","y_2009","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020"
"Portugal",9511000,9730000,10172000,11295000,11632000,12097000,12167000,11644000,11707000,10639000,10612000,11282000,6788000,6962000,6439000,6756000,7264000,7503000,9177000,10497000,11723000,13359000,15432000,16186000,17283000,4208000
"Austria",17173000,17090000,16647000,17352000,17467000,17982000,18180000,18611000,19078000,19374000,19952000,20269000,20773000,21935000,21355000,22004000,23012000,24151000,24813000,25291000,26728000,28121000,29460000,30816000,31884000,15091000
"Turkey",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Australia",3726000,4165000,4318000,4167000,4459000,4931000,4856000,4841000,4746000,5215000,5499000,5532000,5644000,5586000,5490000,5790000,5771000,6032000,6482000,6922000,7449000,8269000,8815000,9246000,9466000,1828000
"Indonesia",4324000,5034000,5185000,4606000,4728000,5064000,5153000,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,11519000,14040000,15810000,16107000,4053000
"Ireland",4818000,5289000,5587000,6064000,6403000,6646000,6353000,6476000,6764000,6953000,7333000,8001000,8332000,8026000,7189000,7134000,7630000,7550000,8260000,8813000,9528000,10100000,10338000,10926000,10951000,NULL
"Colombia",1433000,751000,758000,823000,725000,707000,788000,661000,668000,840000,981000,2096000,2381000,2545000,2649000,1701000,2356000,2434000,2595000,2866000,3371000,3675000,4056000,4397000,4531000,1396000
"Sweden",2310000,2376000,2388000,2573000,2595000,3828000,4108000,4276000,4268000,4676000,4883000,4729000,5224000,4555000,4899000,5183000,11567000,12372000,10980000,10522000,6482000,6782000,7054000,7440000,7616000,1957000
"South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Brazil",1991000,2666000,2850000,4818000,5107000,5313000,4773000,3785000,4133000,4794000,5358000,5017000,5026000,5050000,4802000,5161000,5433000,5677000,5813000,6430000,6306000,6547000,6589000,6621000,6353000,NULL
"India",2124000,2288000,2374000,2359000,2482000,2649000,2537000,2384000,2726000,3457000,3919000,4447000,5082000,5283000,5168000,5776000,6309000,6578000,6968000,13107000,13284000,14570000,15543000,17423000,17914000,NULL
"Hong Kong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Russia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Italy",55706000,59805000,57998000,58499000,59521000,62702000,60960000,63561000,63026000,58480000,59230000,66353000,70271000,70719000,71692000,73225000,75866000,76293000,76762000,77694000,81068000,84925000,89931000,93228602,95399000,38419000
"Norway",2880000,2746000,2702000,3256000,3223000,3104000,3073000,3111000,3269000,3628000,3824000,4070000,4377000,4347000,4346000,4767000,4963000,4538000,4778000,4855000,5361000,5960000,6252000,5688000,5879000,1397000
"Canada",41657000,43256000,45076000,48064000,49055000,48638000,47147000,44896000,38903000,38845000,36160000,33390000,30373000,27370000,24696000,25621000,25066000,25318000,25167000,25558000,27555000,30142000,31081000,31274000,32430000,NULL
"Germany",14847000,15205000,15837000,16511000,17116000,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000,37452000,38881000,39563000,12449000
"Vietnam",1351000,1607000,1716000,1520000,1782000,2140000,2330000,2628000,2429000,2928000,3477000,3583000,4229000,4236000,3747000,5050000,6014000,6848000,7572000,7874000,7944000,10013000,12922000,15498000,18009000,3837000
"Japan",3345000,3837000,4218000,4106000,4438000,4757000,4772000,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,24039000,28691000,31191000,31881000,4115800
"United Arab Emirates",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19313000,20894000,21805000,23092000,25282000,8084000
"Belgium",5560000,5829000,6037000,6179000,6369000,6457000,6452000,6720000,6690000,6710000,6747000,6995000,7045000,7165000,6815000,7186000,7494000,7560000,7684000,7887000,8355000,7481000,8385000,9119000,9343000,2584000
"Mexico",85446000,90394000,92915000,95214000,99869000,105673000,100718000,100153000,92330000,99250000,103146000,97701000,93582000,92948000,88044000,81953000,75732000,76749000,78100000,81042000,87129000,94853000,99349000,96497000,97406000,51128000
"China",46387000,51128000,57588000,63478000,72796000,83444000,89013000,97908000,91662000,109038000,120292000,124942000,131873000,130027000,126476000,133762000,135423000,132405000,129078000,128499000,133820000,141774000,153260000,158606000,162538000,30402000
"Switzerland",6946000,6730000,7039000,7185000,7154000,7821000,7455000,6868000,6530000,NULL,7229000,7863000,8448000,8608000,8294000,8628000,8534000,8566000,8967000,9158000,9305000,10402000,11133000,11715000,11818000,NULL
"Malaysia",7469000,7138000,6211000,5551000,7931000,10222000,12775000,13292000,10577000,15703000,16431000,17547000,20973000,22052000,23646000,24577000,24714000,25033000,25715000,27437000,25721000,26757000,25948000,25832000,26101000,4333000
"Qatar",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1482000,1700000,2057000,2324000,2612000,2839000,2941000,2938000,2256000,1819000,2136500,582000
"Singapore",7137000,7292000,7198000,6242000,6958000,7691000,7522000,7567000,6127000,8329000,8943000,9751000,10285000,10116000,9683000,11642000,13171000,14496000,15568000,15095000,15231500,16403000,17425000,18508000,19116000,2742000
"United Kingdom",23537000,25163000,25515000,25745000,25394000,25209000,22835000,24180000,24715000,27755000,29970000,32713000,32778000,31888000,31072000,30398000,31886000,32221000,33567000,35337000,36792000,39129000,41080000,40283000,40857000,11101000
"Denmark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21119000,22054000,26927000,26936000,27138000,26870000,26571000,26730000,25811000,26402000,26516000,28070000,28209000,28692000,30736000,30801000,33093000,15595000
"Spain",52460000,55077000,62415000,68068000,72040000,74580000,75564000,79313000,82326000,85981000,92563000,96152000,98907000,97670000,91899000,93744000,99187000,98128000,103231000,107144000,109834000,115561000,121717000,124456000,126170000,36410000
"Saudi Arabia",4398000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11083000,10417000,10962000,13479000,17717000,13319000,13025000,15776000,19847000,19934000,23010000,21834000,20887000,18607000,17570000,20292000,NULL
"United States",79732000,82756000,82525000,74767000,75796000,78343000,70975000,64434000,62082000,67606000,71484000,183178000,175299000,175703000,160508000,162275000,147271422,171629891,179309906,178311359,176864531,175261484,174291750,169324922,165478000,45037000
