"airport_name","city","population"
"Hartsfield–Jackson Atlanta International Airport","Atlanta",5046555
"Los Angeles International Airport","Los Angeles",12121244
"O'Hare International Airport","Chicago",8595181
"Dallas-Fort Worth International Airport","Dallas",5668165
"Denver International Airport","Denver",2650725
"John F. Kennedy International Airport","New York",18972871
"San Francisco International Airport","San Francisco",3290197
"McCarran International Airport","Las Vegas",2150373
"Seattle–Tacoma International Airport","Seattle",3438221
"Charlotte Douglas International Airport","Charlotte",1516107
"Orlando International Airport","Orlando",1927699
"Miami International Airport","Miami",5711945
"Phoenix Sky Harbor International Airport","Phoenix",4047095
"Newark Liberty International Airport","Newark",306247
"George Bush Intercontinental Houston Airport","Houston",5650910
"St Paul International Airport","Minneapolis",2856952
"Logan International Airport","Boston",4208580
"Detroit Metropolitan Wayne County Airport","Detroit",3522856
"Fort Lauderdale Hollywood International Airport","Fort Lauderdale",182247
"Orlando Executive Airport","Orlando",1927699
"LaGuardia Airport","New York",18972871
"Philadelphia International Airport","Philadelphia",5512873
"Washington International Thurgood Marshall Airport","Baltimore",2205092
"Salt Lake City International Airport","Salt Lake City",1135344
"Ronald Reagan Washington National Airport","Washington",4810669
